id,dir,OmM,OmB,h,mean,median,std,min,max,range,q05,q25,q75,q95,iqr,w90,skew,kurt,grad_mean,rmse_to_mean,corr_to_mean,dist_mean,outlier_struct,outlier_maha
0,0000_0.14903_0.02182_0.83355,0.14903,0.02182,0.83355,9.71406078338623,9.709548950195312,0.14968982338905334,9.117794036865234,10.83549976348877,1.7177057266235352,9.474844694137573,9.613884925842285,9.807324409484863,9.968466758728027,0.19343948364257812,0.4936220645904541,0.2948235539505626,0.4172363525753604,0.06528729945421219,0.15386028972641752,0.7427105904830248,848.3461017844995,0.6284566589027747,2.2699342302514136
1,0001_0.15178_0.02178_0.68076,0.15178,0.02178,0.68076,9.658822059631348,9.646027565002441,0.23634213209152222,8.843825340270996,12.200031280517578,3.356205940246582,9.295517921447754,9.499602317810059,9.798966407775879,10.063663482666016,0.2993640899658203,0.7681455612182617,0.5534530437672479,1.0902974112001562,0.09402088820934296,0.09786826885658412,0.9233255025112511,694.7435097486774,-0.8647667120734466,1.4135849370311377
2,0002_0.14599_0.02194_0.71614,0.14599,0.02194,0.71614,9.690648078918457,9.679627418518066,0.21922233700752258,8.907918930053711,11.962915420532227,3.0549964904785156,9.350918769836426,9.543245315551758,9.82185959815979,10.065620422363281,0.2786142826080322,0.7147016525268555,0.5027475565449466,0.939968558996469,0.08825710415840149,0.100930590155477,0.8979667492372797,702.0727082850684,-0.7935170645251066,0.965996028419573
3,0003_0.13733_0.02178_0.58625,0.13733,0.02178,0.58625,9.612317085266113,9.589136123657227,0.32514822483062744,8.627437591552734,13.315469741821289,4.688032150268555,9.13157844543457,9.390419006347656,9.794473648071289,10.186258316040039,0.4040546417236328,1.0546798706054688,0.7632079208889322,1.6666172115581928,0.12438677996397018,0.17744433925977982,0.8984222753313205,922.5429672156282,1.3497497832343015,1.5555333863752203
4,0004_0.12340_0.02330_0.65643,0.1234,0.0233,0.65643,9.711277961730957,9.690732955932617,0.3067152202129364,8.758310317993164,13.229686737060547,4.471376419067383,9.253931045532227,9.502735137939453,9.88514232635498,10.248385429382324,0.38240718841552734,0.9944543838500977,0.72803007899846,1.5935167197937128,0.11800020188093185,0.12326936933077567,0.9391690222538186,759.6895256716342,-0.23340426211338233,1.8101782643140105
5,0005_0.13473_0.02295_0.62528,0.13473,0.02295,0.62528,9.664468765258789,9.643611907958984,0.3084295690059662,8.708390235900879,13.19994831085205,4.491558074951172,9.205028533935547,9.454678535461426,9.83906865119934,10.205096244812012,0.38439011573791504,1.0000677108764648,0.732313534221046,1.602749219176502,0.11864108592271805,0.12852880572822362,0.9364899206070577,774.2081782023674,-0.09226347154053872,0.9511856407448005
6,0006_0.15185_0.02208_0.66479,0.15185,0.02208,0.66479,9.654062271118164,9.639836311340332,0.2500142753124237,8.80909252166748,12.198080062866211,3.3889875411987305,9.272016525268555,9.485376358032227,9.8012056350708,10.083425045013428,0.3158292770385742,0.811408519744873,0.591993617158363,1.2078739209760831,0.09865126013755798,0.09534664751545488,0.9391310653024164,688.8217336174591,-0.9223343247004658,1.2549022899789966
7,0007_0.13957_0.02158_0.65572,0.13957,0.02158,0.65572,9.651982307434082,9.634380340576172,0.2816604971885681,8.746049880981445,12.812966346740723,4.066916465759277,9.227605819702148,9.461194038391113,9.814355850219727,10.140345573425293,0.3531618118286133,0.9127397537231445,0.6743918270495767,1.4513335614938532,0.10948074609041214,0.10219591531599626,0.9563427508158984,705.1441201966304,-0.7636588180759222,0.8341591545146197
8,0008_0.15160_0.02311_0.75054,0.1516,0.02311,0.75054,9.71513843536377,9.707289695739746,0.18720296025276184,9.015897750854492,11.390288352966309,2.3743906021118164,9.420769691467285,9.58959674835205,9.829143524169922,10.035619735717773,0.2395467758178711,0.6148500442504883,0.40592400828430497,0.6722265622652075,0.07763965427875519,0.12611480361784094,0.8352705714991533,767.5031923430658,-0.157444934004657,1.2990329705347898
9,0009_0.12351_0.02335_0.66721,0.12351,0.02335,0.66721,9.718857765197754,9.69908618927002,0.3006821870803833,8.776461601257324,13.193506240844727,4.417044639587402,9.269346952438354,9.514618873596191,9.890010833740234,10.244150161743164,0.37539196014404297,0.9748032093048096,0.7156869590836472,1.5637028352242481,0.11592867970466614,0.11557319061215904,0.9468783348477796,739.0648362514437,-0.43390392721130056,1.8556227221246726
10,0010_0.13597_0.02348_0.60303,0.13597,0.02348,0.60303,9.657979965209961,9.63582706451416,0.31846916675567627,8.684158325195312,13.314245223999023,4.630086898803711,9.185720443725586,9.440999984741211,9.837124824523926,10.218484878540039,0.39612483978271484,1.0327644348144531,0.751157493763008,1.6439191862046831,0.12206776440143585,0.14798850656781484,0.9163016668231595,830.5937700955266,0.4558801664363315,1.1160758501664687
